Statystyka ogólna w podziale na województwa;;;;
;;;;
;2021;;;
Województwo;Liczba Wypadkow;Liczba Zabitych;Liczba Rannych;Liczba Kolizji
WOJ. DOLNOŒL¥SKIE;1730;179;2018;39575
WOJ. KUJAWSKO-POMORSKIE;797;122;866;26187
WOJ. LUBELSKIE;892;135;966;19859
WOJ. LUBUSKIE;540;71;648;10700
WOJ. £ÓDZKIE;2306;191;2763;28194
WOJ. MA£OPOLSKIE;2239;144;2590;31560
WOJ. MAZOWIECKIE;3086;375;3561;64221
WOJ. OPOLSKIE;537;81;593;10191
WOJ. PODKARPACKIE;1222;95;1444;17948
WOJ. PODLASKIE;433;79;481;12794
WOJ. POMORSKIE;1776;118;2060;26584
WOJ. ŒL¥SKIE;2203;148;2576;53739
WOJ. ŒWIÊTOKRZYSKIE;780;86;913;12440
WOJ. WARMIÑSKO-MAZURSKIE;920;96;1074;15507
WOJ. WIELKOPOLSKIE;2409;230;2769;33673
WOJ. ZACHODNIOPOMORSKIE;946;95;1093;19455
Podsumowanie ;22816;2245;26415;422627
